CUE,CUEAnexo,Comun,Especial,Adultos,Artistica,Hospitalaria,Intercultural,Carcelaria
0200307,020030700,1,,,,,,
0200309,020030900,1,,,,,,
0200309,020030902,1,,,,,,
0200310,020031000,,,1,,,,
0200311,020031100,1,,,,,,
0200312,020031200,,1,,,,,
0200317,020031700,1,,,,,,
0200319,020031900,1,,,,,,
0200320,020032000,,,1,,,,
0200321,020032100,,,1,,,,
0200322,020032200,,,1,,,,
0200323,020032300,,,1,,,,
0200324,020032400,1,,,,,,
0200325,020032500,1,,,,,,
0200326,020032600,,1,,,,,
0200328,020032800,1,,,,,,
0200329,020032900,1,,,,,,
0200330,020033000,1,,,,,,
0200331,020033100,1,,,,,,
0200333,020033300,1,,,,,,
0200334,020033400,1,,,,,,
0200335,020033500,1,1,,,,,
0200336,020033600,1,,,,,,
0200336,020033601,1,,,,,,
0200336,020033602,1,,,,,,
0200337,020033700,,1,,,,,
0200341,020034100,1,,,,,,
0200342,020034200,1,,,,,,
0200344,020034400,1,,,,,,
0200344,020034401,1,,,,,,
0200344,020034402,1,,,,,,
0200344,020034403,1,,,,,,
0200345,020034500,,1,,,,,
0200347,020034700,,,1,,,,
0200348,020034800,,,1,,,,
0200349,020034900,1,,,,,,
0200350,020035000,1,,,,,,
0200351,020035100,1,,,,,,
0200352,020035200,1,,,,,,
0200353,020035300,1,,,,,,
0200354,020035400,1,,,,,,
0200355,020035500,1,,,,,,
0200356,020035600,1,,1,,,,
0200358,020035800,1,,,,,,
0200361,020036100,1,,,,,,
0200362,020036200,1,,,,,,
0200363,020036300,1,,,,,,
0200364,020036400,1,,,,,,
0200365,020036500,,,1,,,,
0200366,020036600,1,,,,,,
0200366,020036601,1,,,,,,
0200368,020036800,1,,,,,,
0200370,020037000,1,,,,,,
0200371,020037100,,,1,,,,
0200372,020037200,1,,,,,,
0200373,020037300,,,1,,,,
0200374,020037400,,,1,,,,
0200375,020037500,,,1,,,,
0200376,020037600,,,1,,,,
0200379,020037900,1,,,,,,
0200380,020038000,1,,,,,,
0200381,020038100,1,,,,,,
0200382,020038200,1,,,,,,
0200383,020038300,1,,1,,,,
0200384,020038400,,,1,,,,
0200385,020038500,,,1,,,,
0200386,020038600,1,,,,,,
0200387,020038700,1,,,,,,
0200388,020038800,,,1,,,,
0200389,020038900,,,1,,,,
0200390,020039000,,,1,,,,
0200391,020039100,,,1,,,,
0200392,020039200,,,1,,,,
0200393,020039300,,,1,,,,
